car_id,symboling,carname,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
187,2,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275.0,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0
74,0,buick century special,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0
136,2,saab 99gle,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758.0,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0
15,1,bmw z4,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0
38,0,honda accord,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0
108,0,peugeot 504,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0
191,3,vw rabbit,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221.0,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0
64,0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795.0
138,2,saab 99e,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847.0,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0
194,0,volkswagen dasher,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563.0,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500,25,31,12290.0
193,0,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579.0,ohc,four,97,idi,3.01,3.4,23.0,68,4500,33,38,13845.0
201,-1,volvo 145e (sw),gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952.0,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0
17,0,bmw x5,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0
45,1,isuzu D-Max ,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
203,-1,volvo 244dl,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012.0,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0
134,2,saab 99le,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0
156,0,toyota carina,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110.0,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0
55,1,mazda glc deluxe,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0
57,3,mazda glc,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0
180,3,toyota corona,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016.0,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053.0,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.168
204,-1,volvo 246,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217.0,ohc,six,145,idi,3.01,3.4,23.0,106,4800,26,27,22470.0
60,1,mazda 626,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0
130,1,porsche cayenne,gas,std,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366.0,dohcv,eight,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5
42,0,honda civic,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0
80,1,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0
39,0,honda civic 1300,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0
143,0,subaru brz,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0
97,1,nissan latio,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0
78,2,mitsubishi lancer,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0
153,1,toyota corolla 1200,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015.0,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0
65,0,mazda 626,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0
48,0,jaguar xj,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0
184,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209.0,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,27,34,7975.0
163,0,toyota mark ii,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140.0,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0
